Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.879846
Validation Accuracy = 0.886497
Testing Accuracy = 0.878558

During the 20-th epoch:
Training Accuracy = 0.883145
Validation Accuracy = 0.88454
Testing Accuracy = 0.875712

During the 50-th epoch:
Training Accuracy = 0.898818
Validation Accuracy = 0.870842
Testing Accuracy = 0.872865

During the 100-th epoch:
Training Accuracy = 0.929062
Validation Accuracy = 0.83953
Testing Accuracy = 0.857685

During the 200-th epoch:
Training Accuracy = 0.961507
Validation Accuracy = 0.831703
Testing Accuracy = 0.840607

During the 300-th epoch:
Training Accuracy = 0.980203
Validation Accuracy = 0.827789
Testing Accuracy = 0.834915

During the 500-th epoch:
Training Accuracy = 0.993676
Validation Accuracy = 0.821918
Testing Accuracy = 0.833017

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.804305
Testing Accuracy = 0.827324

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.792564
Testing Accuracy = 0.822581

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880121
Validation Accuracy = 0.878669
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.88452
Validation Accuracy = 0.882583
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.900192
Validation Accuracy = 0.864971
Testing Accuracy = 0.867173

During the 100-th epoch:
Training Accuracy = 0.930162
Validation Accuracy = 0.857143
Testing Accuracy = 0.840607

During the 200-th epoch:
Training Accuracy = 0.959307
Validation Accuracy = 0.845401
Testing Accuracy = 0.829222

During the 300-th epoch:
Training Accuracy = 0.992026
Validation Accuracy = 0.825832
Testing Accuracy = 0.813093

During the 500-th epoch:
Training Accuracy = 0.969755
Validation Accuracy = 0.800391
Testing Accuracy = 0.772296

During the 700-th epoch:
Training Accuracy = 0.997525
Validation Accuracy = 0.835616
Testing Accuracy = 0.821632

During the 1000-th epoch:
Training Accuracy = 0.997525
Validation Accuracy = 0.827789
Testing Accuracy = 0.800759

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.877097
Validation Accuracy = 0.880626
Testing Accuracy = 0.874763

During the 20-th epoch:
Training Accuracy = 0.88287
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.895793
Validation Accuracy = 0.868885
Testing Accuracy = 0.881404

During the 100-th epoch:
Training Accuracy = 0.877097
Validation Accuracy = 0.749511
Testing Accuracy = 0.776091

During the 200-th epoch:
Training Accuracy = 0.896343
Validation Accuracy = 0.700587
Testing Accuracy = 0.721063

During the 300-th epoch:
Training Accuracy = 0.971955
Validation Accuracy = 0.767123
Testing Accuracy = 0.778937

During the 500-th epoch:
Training Accuracy = 0.995876
Validation Accuracy = 0.829746
Testing Accuracy = 0.822581

During the 700-th epoch:
Training Accuracy = 0.990377
Validation Accuracy = 0.782779
Testing Accuracy = 0.787476

During the 1000-th epoch:
Training Accuracy = 0.99725
Validation Accuracy = 0.823875
Testing Accuracy = 0.823529

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.877921
Validation Accuracy = 0.880626
Testing Accuracy = 0.878558

During the 20-th epoch:
Training Accuracy = 0.880121
Validation Accuracy = 0.886497
Testing Accuracy = 0.875712

During the 50-th epoch:
Training Accuracy = 0.905142
Validation Accuracy = 0.835616
Testing Accuracy = 0.839658

During the 100-th epoch:
Training Accuracy = 0.936486
Validation Accuracy = 0.837573
Testing Accuracy = 0.823529

During the 200-th epoch:
Training Accuracy = 0.942535
Validation Accuracy = 0.751468
Testing Accuracy = 0.760911

During the 300-th epoch:
Training Accuracy = 0.979654
Validation Accuracy = 0.853229
Testing Accuracy = 0.827324

During the 500-th epoch:
Training Accuracy = 0.971955
Validation Accuracy = 0.759296
Testing Accuracy = 0.768501

During the 700-th epoch:
Training Accuracy = 0.987902
Validation Accuracy = 0.818004
Testing Accuracy = 0.825427

During the 1000-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.821918
Testing Accuracy = 0.813093

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880121
Validation Accuracy = 0.888454
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.882596
Validation Accuracy = 0.886497
Testing Accuracy = 0.878558

During the 50-th epoch:
Training Accuracy = 0.899918
Validation Accuracy = 0.876712
Testing Accuracy = 0.866224

During the 100-th epoch:
Training Accuracy = 0.906241
Validation Accuracy = 0.845401
Testing Accuracy = 0.8074

During the 200-th epoch:
Training Accuracy = 0.922464
Validation Accuracy = 0.761252
Testing Accuracy = 0.765655

During the 300-th epoch:
Training Accuracy = 0.981578
Validation Accuracy = 0.821918
Testing Accuracy = 0.812144

During the 500-th epoch:
Training Accuracy = 0.994501
Validation Accuracy = 0.778865
Testing Accuracy = 0.795066

During the 700-th epoch:
Training Accuracy = 0.996701
Validation Accuracy = 0.810176
Testing Accuracy = 0.809298

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.782779
Testing Accuracy = 0.79222

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.882583
Testing Accuracy = 0.879507

During the 20-th epoch:
Training Accuracy = 0.881771
Validation Accuracy = 0.882583
Testing Accuracy = 0.87666

During the 50-th epoch:
Training Accuracy = 0.895793
Validation Accuracy = 0.872798
Testing Accuracy = 0.870019

During the 100-th epoch:
Training Accuracy = 0.926313
Validation Accuracy = 0.841487
Testing Accuracy = 0.832068

During the 200-th epoch:
Training Accuracy = 0.965081
Validation Accuracy = 0.810176
Testing Accuracy = 0.822581

During the 300-th epoch:
Training Accuracy = 0.980203
Validation Accuracy = 0.808219
Testing Accuracy = 0.803605

During the 500-th epoch:
Training Accuracy = 0.991202
Validation Accuracy = 0.818004
Testing Accuracy = 0.824478

During the 700-th epoch:
Training Accuracy = 0.991202
Validation Accuracy = 0.767123
Testing Accuracy = 0.78463

During the 1000-th epoch:
Training Accuracy = 0.994226
Validation Accuracy = 0.790607
Testing Accuracy = 0.797913

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.879846
Validation Accuracy = 0.882583
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.882046
Validation Accuracy = 0.882583
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.895243
Validation Accuracy = 0.870842
Testing Accuracy = 0.870019

During the 100-th epoch:
Training Accuracy = 0.930437
Validation Accuracy = 0.841487
Testing Accuracy = 0.844402

During the 200-th epoch:
Training Accuracy = 0.955183
Validation Accuracy = 0.816047
Testing Accuracy = 0.806452

During the 300-th epoch:
Training Accuracy = 0.957932
Validation Accuracy = 0.78865
Testing Accuracy = 0.787476

During the 500-th epoch:
Training Accuracy = 0.992851
Validation Accuracy = 0.800391
Testing Accuracy = 0.819734

During the 700-th epoch:
Training Accuracy = 0.956558
Validation Accuracy = 0.83953
Testing Accuracy = 0.845351

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.808219
Testing Accuracy = 0.825427

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.88454
Testing Accuracy = 0.877609

During the 20-th epoch:
Training Accuracy = 0.882046
Validation Accuracy = 0.882583
Testing Accuracy = 0.878558

During the 50-th epoch:
Training Accuracy = 0.893594
Validation Accuracy = 0.88454
Testing Accuracy = 0.87666

During the 100-th epoch:
Training Accuracy = 0.929887
Validation Accuracy = 0.847358
Testing Accuracy = 0.848197

During the 200-th epoch:
Training Accuracy = 0.960682
Validation Accuracy = 0.81409
Testing Accuracy = 0.824478

During the 300-th epoch:
Training Accuracy = 0.94171
Validation Accuracy = 0.745597
Testing Accuracy = 0.801708

During the 500-th epoch:
Training Accuracy = 0.988452
Validation Accuracy = 0.792564
Testing Accuracy = 0.808349

During the 700-th epoch:
Training Accuracy = 0.996976
Validation Accuracy = 0.827789
Testing Accuracy = 0.833966

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.812133
Testing Accuracy = 0.83112

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.879571
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 20-th epoch:
Training Accuracy = 0.882321
Validation Accuracy = 0.882583
Testing Accuracy = 0.878558

During the 50-th epoch:
Training Accuracy = 0.898818
Validation Accuracy = 0.876712
Testing Accuracy = 0.868121

During the 100-th epoch:
Training Accuracy = 0.935936
Validation Accuracy = 0.823875
Testing Accuracy = 0.830171

During the 200-th epoch:
Training Accuracy = 0.974979
Validation Accuracy = 0.802348
Testing Accuracy = 0.796964

During the 300-th epoch:
Training Accuracy = 0.956833
Validation Accuracy = 0.733855
Testing Accuracy = 0.756167

During the 500-th epoch:
Training Accuracy = 0.985977
Validation Accuracy = 0.827789
Testing Accuracy = 0.840607

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.774951
Testing Accuracy = 0.800759

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.796477
Testing Accuracy = 0.819734

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.879021
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
