Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881771
Validation Accuracy = 0.888454
Testing Accuracy = 0.878558

During the 50-th epoch:
Training Accuracy = 0.890844
Validation Accuracy = 0.866928
Testing Accuracy = 0.866224

During the 100-th epoch:
Training Accuracy = 0.891119
Validation Accuracy = 0.882583
Testing Accuracy = 0.873814

During the 200-th epoch:
Training Accuracy = 0.893319
Validation Accuracy = 0.876712
Testing Accuracy = 0.860531

During the 300-th epoch:
Training Accuracy = 0.897443
Validation Accuracy = 0.88454
Testing Accuracy = 0.873814

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.870019

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.874763

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.86907

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880121
Validation Accuracy = 0.88454
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.882046
Validation Accuracy = 0.88454
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.890569
Validation Accuracy = 0.882583
Testing Accuracy = 0.878558

During the 100-th epoch:
Training Accuracy = 0.893594
Validation Accuracy = 0.882583
Testing Accuracy = 0.879507

During the 200-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.880626
Testing Accuracy = 0.87666

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.877609

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.87666

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.877609

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.880455

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.881771
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.882596
Validation Accuracy = 0.88454
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.892494
Validation Accuracy = 0.882583
Testing Accuracy = 0.873814

During the 100-th epoch:
Training Accuracy = 0.894693
Validation Accuracy = 0.880626
Testing Accuracy = 0.875712

During the 200-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.880626
Testing Accuracy = 0.874763

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.875712

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.879507

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.875712

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.878558

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.890569
Validation Accuracy = 0.880626
Testing Accuracy = 0.872865

During the 100-th epoch:
Training Accuracy = 0.894144
Validation Accuracy = 0.880626
Testing Accuracy = 0.866224

During the 200-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.874763

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.878669
Testing Accuracy = 0.872865

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.87666

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.877609

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.873814

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.881771
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.882596
Validation Accuracy = 0.88454
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.892494
Validation Accuracy = 0.882583
Testing Accuracy = 0.87666

During the 100-th epoch:
Training Accuracy = 0.894968
Validation Accuracy = 0.876712
Testing Accuracy = 0.874763

During the 200-th epoch:
Training Accuracy = 0.896893
Validation Accuracy = 0.876712
Testing Accuracy = 0.873814

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.878669
Testing Accuracy = 0.874763

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.880626
Testing Accuracy = 0.874763

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.874763

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.880626
Testing Accuracy = 0.873814

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.882046
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.890019
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 100-th epoch:
Training Accuracy = 0.880121
Validation Accuracy = 0.882583
Testing Accuracy = 0.852941

During the 200-th epoch:
Training Accuracy = 0.896068
Validation Accuracy = 0.88454
Testing Accuracy = 0.873814

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.880626
Testing Accuracy = 0.874763

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.870019

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.875712

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.877609

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.881771
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.88287
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.891119
Validation Accuracy = 0.876712
Testing Accuracy = 0.863378

During the 100-th epoch:
Training Accuracy = 0.894418
Validation Accuracy = 0.880626
Testing Accuracy = 0.87666

During the 200-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.880626
Testing Accuracy = 0.877609

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.879507

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.880455

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.880626
Testing Accuracy = 0.87666

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.87666

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881771
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.890019
Validation Accuracy = 0.882583
Testing Accuracy = 0.878558

During the 100-th epoch:
Training Accuracy = 0.894418
Validation Accuracy = 0.882583
Testing Accuracy = 0.875712

During the 200-th epoch:
Training Accuracy = 0.896893
Validation Accuracy = 0.88454
Testing Accuracy = 0.87666

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.873814

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.880455

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.874763

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.875712

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.882046
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.893319
Validation Accuracy = 0.872798
Testing Accuracy = 0.868121

During the 100-th epoch:
Training Accuracy = 0.895243
Validation Accuracy = 0.882583
Testing Accuracy = 0.877609

During the 200-th epoch:
Training Accuracy = 0.897443
Validation Accuracy = 0.88454
Testing Accuracy = 0.875712

During the 300-th epoch:
Training Accuracy = 0.897443
Validation Accuracy = 0.886497
Testing Accuracy = 0.875712

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.878558

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.87666

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.875712

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 20-th epoch:
