Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.899642
Validation Accuracy = 0.874755
Testing Accuracy = 0.874763

During the 100-th epoch:
Training Accuracy = 0.917514
Validation Accuracy = 0.794521
Testing Accuracy = 0.787476

During the 200-th epoch:
Training Accuracy = 0.960957
Validation Accuracy = 0.76908
Testing Accuracy = 0.789374

During the 300-th epoch:
Training Accuracy = 0.970855
Validation Accuracy = 0.784736
Testing Accuracy = 0.794118

During the 500-th epoch:
Training Accuracy = 0.996151
Validation Accuracy = 0.804305
Testing Accuracy = 0.786528

During the 700-th epoch:
Training Accuracy = 0.999175
Validation Accuracy = 0.81409
Testing Accuracy = 0.819734

During the 1000-th epoch:
Training Accuracy = 0.999175
Validation Accuracy = 0.831703
Testing Accuracy = 0.83871

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.897993
Validation Accuracy = 0.878669
Testing Accuracy = 0.86907

During the 100-th epoch:
Training Accuracy = 0.911465
Validation Accuracy = 0.772994
Testing Accuracy = 0.79222

During the 200-th epoch:
Training Accuracy = 0.976629
Validation Accuracy = 0.841487
Testing Accuracy = 0.819734

During the 300-th epoch:
Training Accuracy = 0.994501
Validation Accuracy = 0.831703
Testing Accuracy = 0.820683

During the 500-th epoch:
Training Accuracy = 0.996426
Validation Accuracy = 0.831703
Testing Accuracy = 0.814991

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.841487
Testing Accuracy = 0.833966

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.835616
Testing Accuracy = 0.833017

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.902117
Validation Accuracy = 0.870841
Testing Accuracy = 0.871916

During the 100-th epoch:
Training Accuracy = 0.940885
Validation Accuracy = 0.853229
Testing Accuracy = 0.842505

During the 200-th epoch:
Training Accuracy = 0.977454
Validation Accuracy = 0.847358
Testing Accuracy = 0.852941

During the 300-th epoch:
Training Accuracy = 0.979928
Validation Accuracy = 0.851272
Testing Accuracy = 0.855787

During the 500-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.83953
Testing Accuracy = 0.816888

During the 700-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.829746
Testing Accuracy = 0.818786

During the 1000-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.818004
Testing Accuracy = 0.813093

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.895243
Validation Accuracy = 0.876712
Testing Accuracy = 0.86148

During the 100-th epoch:
Training Accuracy = 0.907891
Validation Accuracy = 0.872798
Testing Accuracy = 0.874763

During the 200-th epoch:
Training Accuracy = 0.980203
Validation Accuracy = 0.835616
Testing Accuracy = 0.832068

During the 300-th epoch:
Training Accuracy = 0.991751
Validation Accuracy = 0.837573
Testing Accuracy = 0.832068

During the 500-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.81409
Testing Accuracy = 0.810247

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.816047
Testing Accuracy = 0.820683

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.825832
Testing Accuracy = 0.830171

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.899093
Validation Accuracy = 0.872798
Testing Accuracy = 0.85389

During the 100-th epoch:
Training Accuracy = 0.942535
Validation Accuracy = 0.864971
Testing Accuracy = 0.851992

During the 200-th epoch:
Training Accuracy = 0.984603
Validation Accuracy = 0.827789
Testing Accuracy = 0.824478

During the 300-th epoch:
Training Accuracy = 0.993676
Validation Accuracy = 0.812133
Testing Accuracy = 0.820683

During the 500-th epoch:
Training Accuracy = 0.99725
Validation Accuracy = 0.790607
Testing Accuracy = 0.800759

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.819961
Testing Accuracy = 0.812144

During the 1000-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.825832
Testing Accuracy = 0.819734

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881771
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.901017
Validation Accuracy = 0.870841
Testing Accuracy = 0.86907

During the 100-th epoch:
Training Accuracy = 0.91174
Validation Accuracy = 0.784736
Testing Accuracy = 0.776091

During the 200-th epoch:
Training Accuracy = 0.985427
Validation Accuracy = 0.823875
Testing Accuracy = 0.83112

During the 300-th epoch:
Training Accuracy = 0.995051
Validation Accuracy = 0.827789
Testing Accuracy = 0.828273

During the 500-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.827789
Testing Accuracy = 0.822581

During the 700-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.816047
Testing Accuracy = 0.825427

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.829746
Testing Accuracy = 0.826376

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.899917
Validation Accuracy = 0.872798
Testing Accuracy = 0.871917

During the 100-th epoch:
Training Accuracy = 0.933737
Validation Accuracy = 0.864971
Testing Accuracy = 0.86907

During the 200-th epoch:
Training Accuracy = 0.957932
Validation Accuracy = 0.845401
Testing Accuracy = 0.863378

During the 300-th epoch:
Training Accuracy = 0.993951
Validation Accuracy = 0.81409
Testing Accuracy = 0.835863

During the 500-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.794521
Testing Accuracy = 0.834915

During the 700-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.79452
Testing Accuracy = 0.830171

During the 1000-th epoch:
Training Accuracy = 0.997525
Validation Accuracy = 0.808219
Testing Accuracy = 0.833017

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.904592
Validation Accuracy = 0.868885
Testing Accuracy = 0.860531

During the 100-th epoch:
Training Accuracy = 0.945559
Validation Accuracy = 0.816047
Testing Accuracy = 0.822581

During the 200-th epoch:
Training Accuracy = 0.982678
Validation Accuracy = 0.8591
Testing Accuracy = 0.848197

During the 300-th epoch:
Training Accuracy = 0.994776
Validation Accuracy = 0.83953
Testing Accuracy = 0.832068

During the 500-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.831702
Testing Accuracy = 0.835863

During the 700-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.833659
Testing Accuracy = 0.823529

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.831702
Testing Accuracy = 0.837761

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.899642
Validation Accuracy = 0.882583
Testing Accuracy = 0.873814

During the 100-th epoch:
Training Accuracy = 0.91614
Validation Accuracy = 0.782779
Testing Accuracy = 0.81499

During the 200-th epoch:
Training Accuracy = 0.976904
Validation Accuracy = 0.823875
Testing Accuracy = 0.845351

During the 300-th epoch:
Training Accuracy = 0.974979
Validation Accuracy = 0.851272
Testing Accuracy = 0.858634

During the 500-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.81409
Testing Accuracy = 0.842505

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.810176
Testing Accuracy = 0.83112

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.816047
Testing Accuracy = 0.833966

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880671
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
